age,author_name,author_number,browser_codename,browser_detected,browser_name,browser_version,code_author_recog,confidence,correct_author_recog_response,correct_dutch_trial_lextale_response,correct_eng_trial_lextale_response,correct_fre_trial_lextale_response,correct_response,correct_response_author_recog,correct_response_mixed,correct_response_test,count_Stream_Test_sequence,date_startdate,date_startdateUTC,date_starttime,dutch_item,dutch_item_number,dutch_word_status,eng_item,eng_item_number,eng_word_status,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,exposure_stream,fre_item,fre_item_number,fre_word_status,global_test_counter,jatosCondition,jatosStudyResultId,jatosVersion,language,nr_correct,ntargets,phase,queryParams_SONA_ID,response_HP_test_question_key,response_OldNew_response,response_author_recog_response,response_behavior_screening_response,response_dutch_trial_lextale_response,response_eng_trial_lextale_response,response_fre_trial_lextale_response,response_gender_input,response_handedness_input,response_informed_consent_key,response_learn_disorder_input,response_mixed_OldNew_response,response_neuro_disorder_input,response_notes_response,response_smartphone_response,response_word_origin_response,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,set_origin,sona_participant_id,space_press_times,stimulus,stimulus_idx,stimulus_type,syllable_onset_time,system_os,target_onset_times,tdt_accuracy,tdt_mean_rt,tdt_total_hits,tdt_total_targets
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",None,None,None,None,None,None,2,None,None,None,None,24-01-26,24-01-26,14:38:05,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1040473,3.9.8,None,None,16,None,16068,2,None,None,None,None,None,None,v,r,y,n,None,n,None,None,None,816,1536,32,864,32,0,0,1536,None,16068,[],None,None,None,[],Win32,[],None,None,None,None
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",None,None,None,None,None,None,3,None,None,None,None,24-01-26,24-01-26,14:38:05,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1040473,3.9.8,None,None,16,None,16068,3,None,None,None,None,None,None,v,r,y,n,None,n,None,None,None,816,1536,32,864,32,0,0,1536,None,16068,[],None,None,None,[],Win32,[],None,None,None,None
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",None,None,None,None,None,None,1,None,None,None,None,24-01-26,24-01-26,14:38:05,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1040473,3.9.8,None,None,16,None,16068,1,None,None,None,None,None,None,v,r,y,n,None,n,None,None,None,816,1536,32,864,32,0,0,1536,None,16068,[],None,None,None,[],Win32,[],None,None,None,None
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",None,None,None,None,None,None,2,None,None,None,None,24-01-26,24-01-26,14:38:05,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1040473,3.9.8,None,None,16,None,16068,2,None,None,None,None,None,None,v,r,y,n,None,n,None,None,None,816,1536,32,864,32,0,0,1536,None,16068,[],None,None,None,[],Win32,[],None,None,None,None
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",None,None,None,None,None,None,3,None,None,None,None,24-01-26,24-01-26,14:38:05,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1040473,3.9.8,None,None,16,None,16068,3,None,None,None,None,None,None,v,r,y,n,None,n,None,None,None,816,1536,32,864,32,0,0,1536,None,16068,[],None,None,None,[],Win32,[],None,None,None,None
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",None,None,None,None,None,None,1,None,None,None,None,24-01-26,24-01-26,14:38:05,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1040473,3.9.8,None,None,16,None,16068,1,None,None,None,None,None,None,v,r,y,n,None,n,None,None,None,816,1536,32,864,32,0,0,1536,None,16068,[],None,None,None,[],Win32,[],None,None,None,None
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",None,None,None,None,None,None,None,None,None,None,0,24-01-26,24-01-26,14:38:05,None,None,None,None,None,None,0,0,0,0,0,"[12, 13, 8, 9, 6, 7, 10, 11, 4, 5, 2, 3, 14, 15, 0, 1, 6, 7, 8, 9, 4, 5, 14, 15, 0, 1, 2, 3, 99, 12, 13, 10, 11, 0, 1, 2, 3, 10, 11, 14, 15, 4, 5, 12, 13, 6, 7, 8, 9, 2, 3, 0, 1, 10, 11, 6, 7, 4, 5, 14, 15, 99, 12, 13, 8, 9, 6, 7, 10, 11, 14, 15, 4, 5, 8, 9, 12, 13, 99, 2, 3, 0, 1, 12, 13, 0, 1, 10, 11, 2, 3, 4, 5, 6, 7, 99, 14, 15, 8, 9, 14, 15, 12, 13, 6, 7, 2, 3, 4, 5, 8, 9, 10, 11, 0, 1, 8, 9, 0, 1, 2, 3, 14, 15, 6, 7, 4, 5, 12, 13, 10, 11, 99, 12, 13, 10, 11, 0, 1, 8, 9, 6, 7, 2, 3, 14, 15, 4, 5, 6, 7, 99, 14, 15, 8, 9, 0, 1, 10, 11, 4, 5, 12, 13, 2, 3, 6, 7, 4, 5, 10, 11, 0, 1, 12, 13, 14, 15, 8, 9, 99, 2, 3, 4, 5, 8, 9, 10, 11, 2, 3, 99, 12, 13, 14, 15, 0, 1, 6, 7, 2, 3, 6, 7, 12, 13, 0, 1, 14, 15, 10, 11, 4, 5, 8, 9, 4, 5, 0, 1, 12, 13, 8, 9, 99, 2, 3, 10, 11, 6, 7, 14, 15, 6, 7, 12, 13, 8, 9, 2, 3, 10, 11, 4, 5, 0, 1, 99, 14, 15, 2, 3, 14, 15, 0, 1, 8, 9, 12, 13, 6, 7, 4, 5, 99, 10, 11, 6, 7, 10, 11, 8, 9, 0, 1, 12, 13, 2, 3, 4, 5, 14, 15, 8, 9, 14, 15, 6, 7, 4, 5, 12, 13, 10, 11, 2, 3, 0, 1, 2, 3, 99, 4, 5, 12, 13, 14, 15, 0, 1, 8, 9, 10, 11, 6, 7, 12, 13, 10, 11, 6, 7, 14, 15, 99, 4, 5, 0, 1, 8, 9, 2, 3, 10, 11, 0, 1, 99, 8, 9, 2, 3, 4, 5, 6, 7, 14, 15, 12, 13, 0, 1, 2, 3, 6, 7, 99, 10, 11, 8, 9, 4, 5, 14, 15, 12, 13, 4, 5, 2, 3, 14, 15, 12, 13, 10, 11, 99, 0, 1, 6, 7, 8, 9, 14, 15, 6, 7, 2, 3, 0, 1, 10, 11, 12, 13, 8, 9, 4, 5, 8, 9, 6, 7, 99, 2, 3, 10, 11, 12, 13, 14, 15, 0, 1, 4, 5, 10, 11, 4, 5, 8, 9, 0, 1, 12, 13, 2, 3, 14, 15, 6, 7]",None,None,None,0,L2_L1,1040473,3.9.8,L2,17,16,exposure_with_TDT,16068,None,None,None,None,None,None,None,v,r,y,n,None,n,None,None,None,816,1536,32,864,32,0,0,1536,None,16068,"[1771941027576, 1771941041087, 1771941048314, 1771941055573, 1771941070737, 1771941078678, 1771941090696, 1771941095417, 1771941109096, 1771941118747, 1771941125672, 1771941141213, 1771941150690, 1771941156044, 1771941164074, 1771941172872, 1771941183984]",None,None,None,"[1771941014951, 1771941015365, 1771941015770, 1771941016183, 1771941016601, 1771941017016, 1771941017432, 1771941017849, 1771941018266, 1771941018683, 1771941019100, 1771941019516, 1771941019932, 1771941020349, 1771941020766, 1771941021183, 1771941021601, 1771941022019, 1771941022433, 1771941022850, 1771941023265, 1771941023682, 1771941024100, 1771941024516, 1771941024932, 1771941025348, 1771941025764, 1771941026181, 1771941026598, 1771941027015, 1771941027432, 1771941027849, 1771941028266, 1771941028683, 1771941029099, 1771941029516, 1771941029932, 1771941030350, 1771941030764, 1771941031182, 1771941031600, 1771941032016, 1771941032432, 1771941032848, 1771941033252, 1771941033666, 1771941034082, 1771941034499, 1771941034916, 1771941035332, 1771941035750, 1771941036166, 1771941036583, 1771941036998, 1771941037417, 1771941037831, 1771941038248, 1771941038669, 1771941039082, 1771941039500, 1771941039916, 1771941040332, 1771941040751, 1771941041165, 1771941041569, 1771941041983, 1771941042400, 1771941042819, 1771941043232, 1771941043648, 1771941044067, 1771941044482, 1771941044899, 1771941045314, 1771941045733, 1771941046149, 1771941046565, 1771941046984, 1771941047400, 1771941047816, 1771941048233, 1771941048650, 1771941049064, 1771941049482, 1771941049899, 1771941050315, 1771941050734, 1771941051149, 1771941051566, 1771941051983, 1771941052397, 1771941052815, 1771941053230, 1771941053649, 1771941054066, 1771941054482, 1771941054899, 1771941055315, 1771941055732, 1771941056149, 1771941056565, 1771941056984, 1771941057399, 1771941057814, 1771941058232, 1771941058649, 1771941059065, 1771941059483, 1771941059901, 1771941060315, 1771941060730, 1771941061147, 1771941061564, 1771941061982, 1771941062398, 1771941062815, 1771941063234, 1771941063649, 1771941064065, 1771941064482, 1771941064899, 1771941065315, 1771941065734, 1771941066147, 1771941066550, 1771941066965, 1771941067383, 1771941067799, 1771941068215, 1771941068632, 1771941069049, 1771941069467, 1771941069882, 1771941070298, 1771941070701, 1771941071115, 1771941071531, 1771941071948, 1771941072364, 1771941072782, 1771941073199, 1771941073614, 1771941074034, 1771941074450, 1771941074866, 1771941075283, 1771941075699, 1771941076115, 1771941076534, 1771941076949, 1771941077367, 1771941077783, 1771941078197, 1771941078615, 1771941079034, 1771941079449, 1771941079865, 1771941080283, 1771941080699, 1771941081115, 1771941081533, 1771941081947, 1771941082351, 1771941082765, 1771941083181, 1771941083599, 1771941084015, 1771941084432, 1771941084849, 1771941085266, 1771941085681, 1771941086097, 1771941086515, 1771941086934, 1771941087348, 1771941087765, 1771941088184, 1771941088599, 1771941089015, 1771941089433, 1771941089847, 1771941090265, 1771941090684, 1771941091099, 1771941091515, 1771941091930, 1771941092349, 1771941092767, 1771941093184, 1771941093598, 1771941094015, 1771941094433, 1771941094849, 1771941095265, 1771941095681, 1771941096084, 1771941096499, 1771941096915, 1771941097333, 1771941097748, 1771941098165, 1771941098583, 1771941099000, 1771941099415, 1771941099833, 1771941100249, 1771941100665, 1771941101082, 1771941101498, 1771941101914, 1771941102332, 1771941102749, 1771941103165, 1771941103584, 1771941103999, 1771941104415, 1771941104833, 1771941105248, 1771941105665, 1771941106083, 1771941106497, 1771941106915, 1771941107332, 1771941107749, 1771941108165, 1771941108583, 1771941108999, 1771941109415, 1771941109834, 1771941110249, 1771941110666, 1771941111082, 1771941111499, 1771941111914, 1771941112333, 1771941112751, 1771941113165, 1771941113581, 1771941113999, 1771941114415, 1771941114832, 1771941115250, 1771941115666, 1771941116084, 1771941116500, 1771941116915, 1771941117334, 1771941117749, 1771941118165, 1771941118567, 1771941118982, 1771941119398, 1771941119815, 1771941120233, 1771941120647, 1771941121065, 1771941121481, 1771941121884, 1771941122300, 1771941122715, 1771941123131, 1771941123547, 1771941123965, 1771941124382, 1771941124800, 1771941125215, 1771941125632, 1771941126049, 1771941126465, 1771941126883, 1771941127299, 1771941127715, 1771941128131, 1771941128550, 1771941128965, 1771941129382, 1771941129799, 1771941130217, 1771941130632, 1771941131050, 1771941131464, 1771941131881, 1771941132299, 1771941132715, 1771941133133, 1771941133549, 1771941133965, 1771941134383, 1771941134799, 1771941135215, 1771941135633, 1771941136050, 1771941136465, 1771941136882, 1771941137300, 1771941137715, 1771941138133, 1771941138550, 1771941138965, 1771941139383, 1771941139798, 1771941140214, 1771941140633, 1771941141048, 1771941141465, 1771941141884, 1771941142299, 1771941142715, 1771941143133, 1771941143551, 1771941143965, 1771941144383, 1771941144800, 1771941145215, 1771941145634, 1771941146049, 1771941146465, 1771941146881, 1771941147299, 1771941147716, 1771941148133, 1771941148550, 1771941148965, 1771941149382, 1771941149798, 1771941150214, 1771941150633, 1771941151050, 1771941151465, 1771941151883, 1771941152298, 1771941152717, 1771941153131, 1771941153548, 1771941153965, 1771941154384, 1771941154799, 1771941155216, 1771941155634, 1771941156048, 1771941156466, 1771941156883, 1771941157300, 1771941157715, 1771941158131, 1771941158548, 1771941158966, 1771941159383, 1771941159799, 1771941160215, 1771941160633, 1771941161049, 1771941161464, 1771941161882, 1771941162299, 1771941162715, 1771941163132, 1771941163550, 1771941163965, 1771941164382, 1771941164798, 1771941165215, 1771941165632, 1771941166049, 1771941166465, 1771941166883, 1771941167299, 1771941167716, 1771941168133, 1771941168550, 1771941168965, 1771941169382, 1771941169801, 1771941170215, 1771941170632, 1771941171050, 1771941171464, 1771941171883, 1771941172299, 1771941172714, 1771941173131, 1771941173549, 1771941173964, 1771941174383, 1771941174799, 1771941175214, 1771941175631, 1771941176048, 1771941176465, 1771941176882, 1771941177299, 1771941177715, 1771941178132, 1771941178548, 1771941178964, 1771941179382, 1771941179800, 1771941180215, 1771941180631, 1771941181048, 1771941181464, 1771941181883, 1771941182297, 1771941182715, 1771941183132, 1771941183548, 1771941183965, 1771941184383, 1771941184799, 1771941185216, 1771941185632, 1771941186049, 1771941186466, 1771941186883, 1771941187298, 1771941187715]",Win32,"[1771941026598, 1771941040332, 1771941047400, 1771941054482, 1771941069882, 1771941077783, 1771941089847, 1771941094433, 1771941108165, 1771941117749, 1771941124800, 1771941140214, 1771941149798, 1771941155216, 1771941163132, 1771941171883, 1771941183132]",100,919.0588235294117,17,17
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",None,3,None,None,None,None,None,None,None,d,0,24-01-26,24-01-26,14:38:05,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,1,L2_L1,1040473,3.9.8,L2,None,None,OldNew_test,16068,None,d,None,None,None,None,None,v,r,y,n,None,n,None,None,None,816,1536,32,864,32,0,0,1536,2,16068,None,wi_vo_test,24,pseudoword,None,Win32,None,None,None,None,None
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",None,5,None,None,None,None,None,None,None,d,0,24-01-26,24-01-26,14:38:05,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,2,L2_L1,1040473,3.9.8,L2,None,None,OldNew_test,16068,None,d,None,None,None,None,None,v,r,y,n,None,n,None,None,None,816,1536,32,864,32,0,0,1536,2,16068,None,le_fo_test,19,pseudoword,None,Win32,None,None,None,None,None
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",None,4,None,None,None,None,None,None,None,d,0,24-01-26,24-01-26,14:38:05,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,3,L2_L1,1040473,3.9.8,L2,None,None,OldNew_test,16068,None,d,None,None,None,None,None,v,r,y,n,None,n,None,None,None,816,1536,32,864,32,0,0,1536,2,16068,None,nu_bu_test,23,pseudoword,None,Win32,None,None,None,None,None
