age,author_name,author_number,browser_codename,browser_detected,browser_name,browser_version,code_author_recog,confidence,correct_author_recog_response,correct_dutch_trial_lextale_response,correct_eng_trial_lextale_response,correct_fre_trial_lextale_response,correct_response,correct_response_author_recog,correct_response_mixed,correct_response_test,count_Stream_Test_sequence,date_startdate,date_startdateUTC,date_starttime,dutch_item,dutch_item_number,dutch_word_status,eng_item,eng_item_number,eng_word_status,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,exposure_stream,fre_item,fre_item_number,fre_word_status,global_test_counter,jatosCondition,jatosStudyResultId,jatosVersion,language,nr_correct,ntargets,phase,queryParams_SONA_ID,response_HP_test_question_key,response_OldNew_response,response_author_recog_response,response_behavior_screening_response,response_dutch_trial_lextale_response,response_eng_trial_lextale_response,response_fre_trial_lextale_response,response_gender_input,response_handedness_input,response_informed_consent_key,response_learn_disorder_input,response_mixed_OldNew_response,response_neuro_disorder_input,response_notes_response,response_smartphone_response,response_word_origin_response,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,set_origin,sona_participant_id,space_press_times,stimulus,stimulus_idx,stimulus_type,syllable_onset_time,system_os,target_onset_times,tdt_accuracy,tdt_mean_rt,tdt_total_hits,tdt_total_targets
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",None,None,None,None,None,None,1,None,None,None,None,19-01-26,19-01-26,21:46:36,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1038554,3.9.8,None,None,16,None,15491,1,None,None,None,None,None,None,m,r,y,j,None,j,None,None,None,672,1280,32,720,32,0,0,1280,None,15491,[],None,None,None,[],Win32,[],None,None,None,None
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",None,None,None,None,None,None,2,None,None,None,None,19-01-26,19-01-26,21:46:36,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1038554,3.9.8,None,None,16,None,15491,2,None,None,None,None,None,None,m,r,y,j,None,j,None,None,None,672,1280,32,720,32,0,0,1280,None,15491,[],None,None,None,[],Win32,[],None,None,None,None
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",None,None,None,None,None,None,3,None,None,None,None,19-01-26,19-01-26,21:46:36,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1038554,3.9.8,None,None,16,None,15491,3,None,None,None,None,None,None,m,r,y,j,None,j,None,None,None,672,1280,32,720,32,0,0,1280,None,15491,[],None,None,None,[],Win32,[],None,None,None,None
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",None,None,None,None,None,None,3,None,None,None,None,19-01-26,19-01-26,21:46:36,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1038554,3.9.8,None,None,16,None,15491,3,None,None,None,None,None,None,m,r,y,j,None,j,None,None,None,672,1280,32,720,32,0,0,1280,None,15491,[],None,None,None,[],Win32,[],None,None,None,None
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",None,None,None,None,None,None,2,None,None,None,None,19-01-26,19-01-26,21:46:36,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1038554,3.9.8,None,None,16,None,15491,2,None,None,None,None,None,None,m,r,y,j,None,j,None,None,None,672,1280,32,720,32,0,0,1280,None,15491,[],None,None,None,[],Win32,[],None,None,None,None
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",None,None,None,None,None,None,1,None,None,None,None,19-01-26,19-01-26,21:46:36,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1038554,3.9.8,None,None,16,None,15491,1,None,None,None,None,None,None,m,r,y,j,None,j,None,None,None,672,1280,32,720,32,0,0,1280,None,15491,[],None,None,None,[],Win32,[],None,None,None,None
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",None,None,None,None,None,None,None,None,None,None,0,19-01-26,19-01-26,21:46:36,None,None,None,None,None,None,0,0,0,0,0,"[4, 5, 2, 3, 6, 7, 10, 11, 8, 9, 12, 13, 0, 1, 14, 15, 10, 11, 14, 15, 0, 1, 99, 4, 5, 8, 9, 2, 3, 6, 7, 12, 13, 0, 1, 12, 13, 14, 15, 4, 5, 2, 3, 8, 9, 6, 7, 10, 11, 99, 6, 7, 4, 5, 12, 13, 8, 9, 10, 11, 2, 3, 0, 1, 14, 15, 8, 9, 2, 3, 12, 13, 14, 15, 0, 1, 6, 7, 10, 11, 4, 5, 2, 3, 99, 10, 11, 14, 15, 6, 7, 12, 13, 4, 5, 8, 9, 0, 1, 14, 15, 12, 13, 0, 1, 4, 5, 8, 9, 99, 6, 7, 10, 11, 2, 3, 0, 1, 4, 5, 2, 3, 6, 7, 10, 11, 8, 9, 12, 13, 14, 15, 99, 10, 11, 12, 13, 6, 7, 4, 5, 14, 15, 2, 3, 0, 1, 8, 9, 6, 7, 0, 1, 2, 3, 99, 4, 5, 14, 15, 10, 11, 99, 12, 13, 8, 9, 6, 7, 12, 13, 8, 9, 10, 11, 14, 15, 2, 3, 4, 5, 0, 1, 4, 5, 10, 11, 99, 12, 13, 14, 15, 2, 3, 0, 1, 8, 9, 6, 7, 12, 13, 4, 5, 2, 3, 6, 7, 8, 9, 10, 11, 14, 15, 0, 1, 4, 5, 14, 15, 0, 1, 10, 11, 6, 7, 2, 3, 99, 8, 9, 12, 13, 6, 7, 8, 9, 12, 13, 4, 5, 10, 11, 14, 15, 99, 0, 1, 2, 3, 4, 5, 14, 15, 10, 11, 2, 3, 8, 9, 0, 1, 99, 12, 13, 6, 7, 4, 5, 10, 11, 0, 1, 8, 9, 6, 7, 2, 3, 14, 15, 12, 13, 8, 9, 14, 15, 2, 3, 6, 7, 10, 11, 99, 12, 13, 4, 5, 0, 1, 2, 3, 0, 1, 12, 13, 10, 11, 14, 15, 99, 4, 5, 6, 7, 8, 9, 2, 3, 4, 5, 6, 7, 12, 13, 14, 15, 8, 9, 10, 11, 0, 1, 14, 15, 4, 5, 0, 1, 6, 7, 12, 13, 10, 11, 2, 3, 8, 9, 99, 10, 11, 14, 15, 2, 3, 0, 1, 4, 5, 12, 13, 6, 7, 8, 9, 14, 15, 10, 11, 4, 5, 99, 6, 7, 0, 1, 12, 13, 8, 9, 99, 2, 3, 14, 15, 10, 11, 6, 7, 2, 3, 4, 5, 0, 1, 8, 9, 12, 13, 0, 1, 6, 7, 10, 11, 2, 3, 14, 15, 4, 5, 99, 8, 9, 12, 13, 2, 3, 10, 11, 0, 1, 6, 7, 4, 5, 8, 9, 14, 15, 12, 13]",None,None,None,0,L2_L1,1038554,3.9.8,L2,13,16,exposure_with_TDT,15491,None,None,None,None,None,None,None,m,r,y,j,None,j,None,None,None,672,1280,32,720,32,0,0,1280,None,15491,"[1771534601339, 1771534603052, 1771534607141, 1771534612914, 1771534620663, 1771534624065, 1771534629939, 1771534641047, 1771534650807, 1771534660381, 1771534673532, 1771534690713, 1771534698108, 1771534704991, 1771534717775, 1771534724851, 1771534741446, 1771534750688, 1771534754724, 1771534767490]",None,None,None,"[1771534595212, 1771534595628, 1771534596044, 1771534596461, 1771534596877, 1771534597293, 1771534597709, 1771534598126, 1771534598542, 1771534598959, 1771534599375, 1771534599791, 1771534600207, 1771534600624, 1771534601040, 1771534601456, 1771534601873, 1771534602289, 1771534602705, 1771534603122, 1771534603538, 1771534603954, 1771534604371, 1771534604787, 1771534605203, 1771534605619, 1771534606036, 1771534606453, 1771534606869, 1771534607285, 1771534607702, 1771534608119, 1771534608535, 1771534608951, 1771534609367, 1771534609784, 1771534610201, 1771534610617, 1771534611033, 1771534611449, 1771534611865, 1771534612281, 1771534612698, 1771534613114, 1771534613530, 1771534613947, 1771534614363, 1771534614780, 1771534615197, 1771534615613, 1771534616029, 1771534616445, 1771534616861, 1771534617278, 1771534617694, 1771534618110, 1771534618527, 1771534618943, 1771534619359, 1771534619776, 1771534620193, 1771534620609, 1771534621025, 1771534621442, 1771534621858, 1771534622273, 1771534622690, 1771534623106, 1771534623523, 1771534623939, 1771534624355, 1771534624771, 1771534625188, 1771534625605, 1771534626020, 1771534626437, 1771534626853, 1771534627269, 1771534627686, 1771534628102, 1771534628518, 1771534628935, 1771534629351, 1771534629767, 1771534630184, 1771534630600, 1771534631017, 1771534631432, 1771534631850, 1771534632265, 1771534632684, 1771534633098, 1771534633515, 1771534633931, 1771534634347, 1771534634764, 1771534635180, 1771534635596, 1771534636014, 1771534636429, 1771534636846, 1771534637263, 1771534637678, 1771534638095, 1771534638510, 1771534638927, 1771534639343, 1771534639760, 1771534640176, 1771534640592, 1771534641009, 1771534641425, 1771534641841, 1771534642257, 1771534642674, 1771534643090, 1771534643507, 1771534643923, 1771534644340, 1771534644755, 1771534645172, 1771534645589, 1771534646005, 1771534646421, 1771534646838, 1771534647253, 1771534647670, 1771534648086, 1771534648502, 1771534648919, 1771534649335, 1771534649752, 1771534650168, 1771534650584, 1771534651001, 1771534651417, 1771534651833, 1771534652250, 1771534652666, 1771534653082, 1771534653499, 1771534653915, 1771534654331, 1771534654748, 1771534655165, 1771534655581, 1771534655997, 1771534656413, 1771534656829, 1771534657245, 1771534657661, 1771534658078, 1771534658495, 1771534658911, 1771534659328, 1771534659743, 1771534660161, 1771534660577, 1771534660992, 1771534661409, 1771534661825, 1771534662241, 1771534662658, 1771534663075, 1771534663491, 1771534663907, 1771534664323, 1771534664740, 1771534665156, 1771534665573, 1771534665989, 1771534666405, 1771534666821, 1771534667239, 1771534667654, 1771534668070, 1771534668486, 1771534668903, 1771534669319, 1771534669736, 1771534670152, 1771534670568, 1771534670984, 1771534671401, 1771534671818, 1771534672234, 1771534672650, 1771534673066, 1771534673483, 1771534673899, 1771534674315, 1771534674732, 1771534675149, 1771534675564, 1771534675981, 1771534676397, 1771534676814, 1771534677230, 1771534677646, 1771534678062, 1771534678478, 1771534678896, 1771534679311, 1771534679728, 1771534680144, 1771534680560, 1771534680977, 1771534681395, 1771534681809, 1771534682226, 1771534682642, 1771534683058, 1771534683475, 1771534683891, 1771534684308, 1771534684724, 1771534685141, 1771534685556, 1771534685972, 1771534686389, 1771534686806, 1771534687221, 1771534687638, 1771534688056, 1771534688471, 1771534688888, 1771534689304, 1771534689719, 1771534690136, 1771534690554, 1771534690969, 1771534691385, 1771534691801, 1771534692218, 1771534692634, 1771534693051, 1771534693467, 1771534693883, 1771534694299, 1771534694716, 1771534695133, 1771534695549, 1771534695965, 1771534696382, 1771534696798, 1771534697214, 1771534697630, 1771534698046, 1771534698464, 1771534698879, 1771534699295, 1771534699712, 1771534700128, 1771534700544, 1771534700961, 1771534701377, 1771534701793, 1771534702210, 1771534702626, 1771534703043, 1771534703459, 1771534703875, 1771534704291, 1771534704708, 1771534705124, 1771534705540, 1771534705957, 1771534706373, 1771534706789, 1771534707205, 1771534707622, 1771534708039, 1771534708455, 1771534708871, 1771534709288, 1771534709704, 1771534710120, 1771534710537, 1771534710954, 1771534711369, 1771534711785, 1771534712202, 1771534712619, 1771534713034, 1771534713451, 1771534713867, 1771534714284, 1771534714700, 1771534715116, 1771534715532, 1771534715949, 1771534716365, 1771534716781, 1771534717198, 1771534717615, 1771534718030, 1771534718447, 1771534718863, 1771534719279, 1771534719696, 1771534720112, 1771534720529, 1771534720945, 1771534721361, 1771534721778, 1771534722194, 1771534722610, 1771534723026, 1771534723443, 1771534723859, 1771534724276, 1771534724692, 1771534725108, 1771534725525, 1771534725941, 1771534726357, 1771534726773, 1771534727190, 1771534727606, 1771534728023, 1771534728439, 1771534728855, 1771534729271, 1771534729688, 1771534730104, 1771534730520, 1771534730937, 1771534731353, 1771534731770, 1771534732186, 1771534732602, 1771534733019, 1771534733435, 1771534733851, 1771534734268, 1771534734684, 1771534735100, 1771534735516, 1771534735933, 1771534736349, 1771534736767, 1771534737182, 1771534737598, 1771534738014, 1771534738431, 1771534738847, 1771534739263, 1771534739680, 1771534740096, 1771534740512, 1771534740929, 1771534741344, 1771534741762, 1771534742178, 1771534742594, 1771534743010, 1771534743427, 1771534743843, 1771534744260, 1771534744675, 1771534745092, 1771534745508, 1771534745925, 1771534746341, 1771534746757, 1771534747173, 1771534747590, 1771534748006, 1771534748422, 1771534748839, 1771534749255, 1771534749672, 1771534750088, 1771534750505, 1771534750921, 1771534751337, 1771534751754, 1771534752170, 1771534752586, 1771534753002, 1771534753420, 1771534753835, 1771534754251, 1771534754668, 1771534755084, 1771534755500, 1771534755917, 1771534756332, 1771534756749, 1771534757166, 1771534757582, 1771534757998, 1771534758415, 1771534758831, 1771534759247, 1771534759663, 1771534760080, 1771534760496, 1771534760913, 1771534761329, 1771534761745, 1771534762162, 1771534762578, 1771534762994, 1771534763411, 1771534763827, 1771534764243, 1771534764660, 1771534765076, 1771534765492, 1771534765909, 1771534766325, 1771534766741, 1771534767158, 1771534767574, 1771534767990]",Win32,"[1771534604371, 1771534615613, 1771534630184, 1771534640592, 1771534650168, 1771534659743, 1771534662658, 1771534673066, 1771534690136, 1771534697214, 1771534704291, 1771534717198, 1771534724276, 1771534740512, 1771534750088, 1771534753835, 1771534766741]",76.47058823529412,668.6923076923077,13,17
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",None,3,None,None,None,None,None,None,None,k,0,19-01-26,19-01-26,21:46:36,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,1,L2_L1,1038554,3.9.8,L2,None,None,OldNew_test,15491,None,d,None,None,None,None,None,m,r,y,j,None,j,None,None,None,672,1280,32,720,32,0,0,1280,2,15491,None,nu_di_test,30,nonword,None,Win32,None,None,None,None,None
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",None,4,None,None,None,None,None,None,None,d,0,19-01-26,19-01-26,21:46:36,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,2,L2_L1,1038554,3.9.8,L2,None,None,OldNew_test,15491,None,d,None,None,None,None,None,m,r,y,j,None,j,None,None,None,672,1280,32,720,32,0,0,1280,2,15491,None,wi_vo_test,24,pseudoword,None,Win32,None,None,None,None,None
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",None,1,None,None,None,None,None,None,None,k,0,19-01-26,19-01-26,21:46:36,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,3,L2_L1,1038554,3.9.8,L2,None,None,OldNew_test,15491,None,k,None,None,None,None,None,m,r,y,j,None,j,None,None,None,672,1280,32,720,32,0,0,1280,2,15491,None,fu_tu_test,26,nonword,None,Win32,None,None,None,None,None
