age,author_name,author_number,browser_codename,browser_detected,browser_name,browser_version,code_author_recog,confidence,correct_author_recog_response,correct_dutch_trial_lextale_response,correct_eng_trial_lextale_response,correct_fre_trial_lextale_response,correct_response,correct_response_author_recog,correct_response_mixed,correct_response_test,count_Stream_Test_sequence,date_startdate,date_startdateUTC,date_starttime,dutch_item,dutch_item_number,dutch_word_status,eng_item,eng_item_number,eng_word_status,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,exposure_stream,fre_item,fre_item_number,fre_word_status,global_test_counter,jatosCondition,jatosStudyResultId,jatosVersion,language,nr_correct,ntargets,phase,queryParams_SONA_ID,response_HP_test_question_key,response_OldNew_response,response_author_recog_response,response_behavior_screening_response,response_dutch_trial_lextale_response,response_eng_trial_lextale_response,response_fre_trial_lextale_response,response_gender_input,response_handedness_input,response_informed_consent_key,response_learn_disorder_input,response_mixed_OldNew_response,response_neuro_disorder_input,response_notes_response,response_smartphone_response,response_word_origin_response,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,set_origin,sona_participant_id,space_press_times,stimulus,stimulus_idx,stimulus_type,syllable_onset_time,system_os,target_onset_times,tdt_accuracy,tdt_mean_rt,tdt_total_hits,tdt_total_targets
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 AVG/144.0.0.0",None,None,None,None,None,None,3,None,None,None,None,19-01-26,19-01-26,13:33:52,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1038096,3.9.8,None,None,16,None,15617,3,None,None,None,None,None,None,v,r,y,n,None,n,None,None,None,816,1536,24,864,24,0,0,1536,None,15617,[],None,None,None,[],Win32,[],None,None,None,None
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 AVG/144.0.0.0",None,None,None,None,None,None,2,None,None,None,None,19-01-26,19-01-26,13:33:52,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1038096,3.9.8,None,None,16,None,15617,2,None,None,None,None,None,None,v,r,y,n,None,n,None,None,None,816,1536,24,864,24,0,0,1536,None,15617,[],None,None,None,[],Win32,[],None,None,None,None
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 AVG/144.0.0.0",None,None,None,None,None,None,1,None,None,None,None,19-01-26,19-01-26,13:33:52,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1038096,3.9.8,None,None,16,None,15617,1,None,None,None,None,None,None,v,r,y,n,None,n,None,None,None,816,1536,24,864,24,0,0,1536,None,15617,[],None,None,None,[],Win32,[],None,None,None,None
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 AVG/144.0.0.0",None,None,None,None,None,None,1,None,None,None,None,19-01-26,19-01-26,13:33:52,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1038096,3.9.8,None,None,16,None,15617,1,None,None,None,None,None,None,v,r,y,n,None,n,None,None,None,816,1536,24,864,24,0,0,1536,None,15617,[],None,None,None,[],Win32,[],None,None,None,None
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 AVG/144.0.0.0",None,None,None,None,None,None,2,None,None,None,None,19-01-26,19-01-26,13:33:52,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1038096,3.9.8,None,None,16,None,15617,2,None,None,None,None,None,None,v,r,y,n,None,n,None,None,None,816,1536,24,864,24,0,0,1536,None,15617,[],None,None,None,[],Win32,[],None,None,None,None
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 AVG/144.0.0.0",None,None,None,None,None,None,3,None,None,None,None,19-01-26,19-01-26,13:33:52,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1038096,3.9.8,None,None,16,None,15617,3,None,None,None,None,None,None,v,r,y,n,None,n,None,None,None,816,1536,24,864,24,0,0,1536,None,15617,[],None,None,None,[],Win32,[],None,None,None,None
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 AVG/144.0.0.0",None,None,None,None,None,None,None,None,None,None,0,19-01-26,19-01-26,13:33:52,None,None,None,None,None,None,0,0,0,0,0,"[2, 3, 6, 7, 14, 15, 4, 5, 0, 1, 12, 13, 8, 9, 10, 11, 6, 7, 14, 15, 2, 3, 12, 13, 0, 1, 8, 9, 10, 11, 4, 5, 8, 9, 10, 11, 99, 0, 1, 6, 7, 99, 4, 5, 2, 3, 12, 13, 14, 15, 2, 3, 14, 15, 8, 9, 0, 1, 10, 11, 6, 7, 12, 13, 4, 5, 2, 3, 4, 5, 8, 9, 14, 15, 99, 10, 11, 0, 1, 6, 7, 12, 13, 6, 7, 12, 13, 0, 1, 4, 5, 8, 9, 2, 3, 10, 11, 99, 14, 15, 0, 1, 4, 5, 10, 11, 6, 7, 8, 9, 12, 13, 2, 3, 14, 15, 12, 13, 99, 6, 7, 10, 11, 8, 9, 2, 3, 14, 15, 0, 1, 4, 5, 0, 1, 4, 5, 14, 15, 10, 11, 2, 3, 99, 6, 7, 12, 13, 8, 9, 6, 7, 14, 15, 8, 9, 2, 3, 10, 11, 4, 5, 12, 13, 0, 1, 2, 3, 0, 1, 99, 8, 9, 4, 5, 12, 13, 6, 7, 10, 11, 14, 15, 2, 3, 8, 9, 14, 15, 4, 5, 6, 7, 0, 1, 10, 11, 12, 13, 99, 6, 7, 14, 15, 12, 13, 4, 5, 2, 3, 0, 1, 10, 11, 8, 9, 6, 7, 99, 8, 9, 2, 3, 0, 1, 10, 11, 12, 13, 14, 15, 4, 5, 6, 7, 4, 5, 8, 9, 2, 3, 0, 1, 99, 12, 13, 14, 15, 10, 11, 14, 15, 10, 11, 4, 5, 2, 3, 6, 7, 0, 1, 8, 9, 99, 12, 13, 4, 5, 2, 3, 14, 15, 0, 1, 6, 7, 12, 13, 10, 11, 99, 8, 9, 2, 3, 8, 9, 12, 13, 6, 7, 14, 15, 0, 1, 4, 5, 10, 11, 2, 3, 0, 1, 12, 13, 99, 6, 7, 14, 15, 10, 11, 4, 5, 8, 9, 14, 15, 0, 1, 6, 7, 12, 13, 4, 5, 10, 11, 2, 3, 8, 9, 2, 3, 0, 1, 12, 13, 99, 6, 7, 4, 5, 10, 11, 8, 9, 14, 15, 0, 1, 6, 7, 10, 11, 8, 9, 4, 5, 14, 15, 2, 3, 12, 13, 2, 3, 6, 7, 99, 0, 1, 8, 9, 14, 15, 4, 5, 10, 11, 12, 13, 2, 3, 12, 13, 10, 11, 8, 9, 99, 0, 1, 14, 15, 4, 5, 6, 7, 0, 1, 14, 15, 99, 10, 11, 2, 3, 8, 9, 6, 7, 4, 5, 12, 13, 0, 1, 4, 5, 8, 9, 12, 13, 2, 3, 10, 11, 14, 15, 6, 7]",None,None,None,0,L2_L1,1038096,3.9.8,L2,17,16,exposure_with_TDT,15617,None,None,None,None,None,None,None,v,r,y,n,None,n,None,None,None,816,1536,24,864,24,0,0,1536,None,15617,"[1771504771227, 1771504773284, 1771504777014, 1771504787209, 1771504796583, 1771504805383, 1771504816002, 1771504827032, 1771504839059, 1771504847005, 1771504857420, 1771504860506, 1771504866262, 1771504873193, 1771504875673, 1771504883868, 1771504894638, 1771504897509, 1771504910469, 1771504919203, 1771504925092]",None,None,None,"[1771504755650, 1771504756066, 1771504756483, 1771504756899, 1771504757317, 1771504757732, 1771504758149, 1771504758566, 1771504758983, 1771504759399, 1771504759816, 1771504760232, 1771504760650, 1771504761066, 1771504761483, 1771504761900, 1771504762316, 1771504762733, 1771504763150, 1771504763566, 1771504763982, 1771504764399, 1771504764816, 1771504765233, 1771504765650, 1771504766067, 1771504766483, 1771504766901, 1771504767317, 1771504767733, 1771504768151, 1771504768566, 1771504768984, 1771504769400, 1771504769818, 1771504770233, 1771504770649, 1771504771066, 1771504771484, 1771504771900, 1771504772318, 1771504772733, 1771504773149, 1771504773567, 1771504773983, 1771504774400, 1771504774816, 1771504775233, 1771504775650, 1771504776066, 1771504776483, 1771504776900, 1771504777317, 1771504777733, 1771504778149, 1771504778566, 1771504778983, 1771504779400, 1771504779816, 1771504780233, 1771504780650, 1771504781066, 1771504781483, 1771504781900, 1771504782316, 1771504782733, 1771504783149, 1771504783566, 1771504783983, 1771504784399, 1771504784815, 1771504785233, 1771504785649, 1771504786066, 1771504786484, 1771504786900, 1771504787318, 1771504787733, 1771504788149, 1771504788566, 1771504788983, 1771504789400, 1771504789816, 1771504790233, 1771504790652, 1771504791066, 1771504791483, 1771504791899, 1771504792317, 1771504792733, 1771504793153, 1771504793566, 1771504793983, 1771504794400, 1771504794817, 1771504795234, 1771504795649, 1771504796068, 1771504796483, 1771504796899, 1771504797316, 1771504797733, 1771504798149, 1771504798566, 1771504798983, 1771504799402, 1771504799816, 1771504800233, 1771504800650, 1771504801067, 1771504801485, 1771504801899, 1771504802323, 1771504802733, 1771504803141, 1771504803550, 1771504803966, 1771504804383, 1771504804799, 1771504805216, 1771504805633, 1771504806050, 1771504806466, 1771504806883, 1771504807299, 1771504807716, 1771504808133, 1771504808550, 1771504808966, 1771504809383, 1771504809800, 1771504810217, 1771504810633, 1771504811050, 1771504811466, 1771504811883, 1771504812300, 1771504812717, 1771504813133, 1771504813550, 1771504813967, 1771504814387, 1771504814800, 1771504815217, 1771504815633, 1771504816050, 1771504816467, 1771504816884, 1771504817300, 1771504817716, 1771504818133, 1771504818550, 1771504818966, 1771504819374, 1771504819789, 1771504820201, 1771504820617, 1771504821034, 1771504821451, 1771504821867, 1771504822284, 1771504822700, 1771504823117, 1771504823534, 1771504823950, 1771504824366, 1771504824784, 1771504825200, 1771504825617, 1771504826034, 1771504826450, 1771504826867, 1771504827284, 1771504827700, 1771504828116, 1771504828534, 1771504828950, 1771504829367, 1771504829784, 1771504830200, 1771504830617, 1771504831034, 1771504831450, 1771504831867, 1771504832284, 1771504832689, 1771504833101, 1771504833517, 1771504833933, 1771504834350, 1771504834767, 1771504835184, 1771504835601, 1771504836017, 1771504836435, 1771504836851, 1771504837267, 1771504837684, 1771504838101, 1771504838517, 1771504838943, 1771504839351, 1771504839767, 1771504840184, 1771504840601, 1771504841017, 1771504841434, 1771504841850, 1771504842267, 1771504842684, 1771504843101, 1771504843518, 1771504843934, 1771504844351, 1771504844767, 1771504845184, 1771504845601, 1771504846018, 1771504846434, 1771504846851, 1771504847267, 1771504847684, 1771504848101, 1771504848518, 1771504848934, 1771504849351, 1771504849767, 1771504850184, 1771504850601, 1771504851019, 1771504851434, 1771504851851, 1771504852267, 1771504852685, 1771504853102, 1771504853518, 1771504853935, 1771504854351, 1771504854767, 1771504855184, 1771504855601, 1771504856018, 1771504856435, 1771504856851, 1771504857268, 1771504857684, 1771504858091, 1771504858503, 1771504858917, 1771504859335, 1771504859751, 1771504860168, 1771504860585, 1771504861002, 1771504861408, 1771504861818, 1771504862235, 1771504862651, 1771504863068, 1771504863485, 1771504863901, 1771504864319, 1771504864736, 1771504865152, 1771504865569, 1771504865984, 1771504866401, 1771504866818, 1771504867235, 1771504867651, 1771504868068, 1771504868484, 1771504868902, 1771504869318, 1771504869735, 1771504870151, 1771504870569, 1771504870985, 1771504871401, 1771504871819, 1771504872234, 1771504872651, 1771504873070, 1771504873485, 1771504873902, 1771504874319, 1771504874735, 1771504875152, 1771504875568, 1771504875985, 1771504876402, 1771504876819, 1771504877235, 1771504877653, 1771504878069, 1771504878485, 1771504878902, 1771504879318, 1771504879735, 1771504880151, 1771504880568, 1771504880985, 1771504881401, 1771504881818, 1771504882235, 1771504882652, 1771504883068, 1771504883485, 1771504883902, 1771504884318, 1771504884737, 1771504885151, 1771504885571, 1771504885985, 1771504886402, 1771504886818, 1771504887235, 1771504887652, 1771504888068, 1771504888485, 1771504888902, 1771504889319, 1771504889736, 1771504890143, 1771504890559, 1771504890969, 1771504891385, 1771504891801, 1771504892218, 1771504892636, 1771504893052, 1771504893469, 1771504893885, 1771504894302, 1771504894720, 1771504895136, 1771504895553, 1771504895969, 1771504896386, 1771504896803, 1771504897219, 1771504897637, 1771504898053, 1771504898469, 1771504898886, 1771504899302, 1771504899719, 1771504900136, 1771504900553, 1771504900970, 1771504901386, 1771504901806, 1771504902220, 1771504902636, 1771504903053, 1771504903470, 1771504903886, 1771504904303, 1771504904719, 1771504905137, 1771504905553, 1771504905970, 1771504906387, 1771504906803, 1771504907220, 1771504907636, 1771504908053, 1771504908469, 1771504908886, 1771504909303, 1771504909720, 1771504910136, 1771504910553, 1771504910969, 1771504911386, 1771504911802, 1771504912218, 1771504912636, 1771504913053, 1771504913471, 1771504913887, 1771504914304, 1771504914721, 1771504915137, 1771504915554, 1771504915970, 1771504916387, 1771504916803, 1771504917220, 1771504917637, 1771504918053, 1771504918471, 1771504918887, 1771504919304, 1771504919720, 1771504920136, 1771504920553, 1771504920971, 1771504921386, 1771504921803, 1771504922222, 1771504922636, 1771504923052, 1771504923469, 1771504923877, 1771504924286, 1771504924703, 1771504925120, 1771504925536, 1771504925953, 1771504926369, 1771504926787, 1771504927204, 1771504927620, 1771504928023, 1771504928439]",Win32,"[1771504770649, 1771504772733, 1771504786484, 1771504796068, 1771504804799, 1771504815217, 1771504826450, 1771504838517, 1771504846434, 1771504856851, 1771504865569, 1771504872651, 1771504883068, 1771504896803, 1771504909720, 1771504918471, 1771504923877]",100,672.8823529411765,17,17
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 AVG/144.0.0.0",None,4,None,None,None,None,None,None,None,k,0,19-01-26,19-01-26,13:33:52,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,1,L2_L1,1038096,3.9.8,L2,None,None,OldNew_test,15617,None,d,None,None,None,None,None,v,r,y,n,None,n,None,None,None,816,1536,24,864,24,0,0,1536,2,15617,None,nu_di_test,30,nonword,None,Win32,None,None,None,None,None
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 AVG/144.0.0.0",None,0,None,None,None,None,None,None,None,d,0,19-01-26,19-01-26,13:33:52,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,2,L2_L1,1038096,3.9.8,L2,None,None,OldNew_test,15617,None,k,None,None,None,None,None,v,r,y,n,None,n,None,None,None,816,1536,24,864,24,0,0,1536,2,15617,None,wi_vo_test,24,pseudoword,None,Win32,None,None,None,None,None
18,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 AVG/144.0.0.0",None,5,None,None,None,None,None,None,None,d,0,19-01-26,19-01-26,13:33:52,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,3,L2_L1,1038096,3.9.8,L2,None,None,OldNew_test,15617,None,d,None,None,None,None,None,v,r,y,n,None,n,None,None,None,816,1536,24,864,24,0,0,1536,2,15617,None,le_fo_test,19,pseudoword,None,Win32,None,None,None,None,None
