age,author_name,author_number,browser_codename,browser_detected,browser_name,browser_version,code_author_recog,confidence,correct_author_recog_response,correct_dutch_trial_lextale_response,correct_eng_trial_lextale_response,correct_fre_trial_lextale_response,correct_response,correct_response_author_recog,correct_response_mixed,correct_response_test,count_Stream_Test_sequence,date_startdate,date_startdateUTC,date_starttime,dutch_item,dutch_item_number,dutch_word_status,eng_item,eng_item_number,eng_word_status,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,exposure_stream,fre_item,fre_item_number,fre_word_status,global_test_counter,jatosCondition,jatosStudyResultId,jatosVersion,language,nr_correct,ntargets,phase,queryParams_SONA_ID,response_HP_test_question_key,response_OldNew_response,response_author_recog_response,response_behavior_screening_response,response_dutch_trial_lextale_response,response_eng_trial_lextale_response,response_fre_trial_lextale_response,response_gender_input,response_handedness_input,response_informed_consent_key,response_learn_disorder_input,response_mixed_OldNew_response,response_neuro_disorder_input,response_notes_response,response_smartphone_response,response_word_origin_response,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,set_origin,sona_participant_id,space_press_times,stimulus,stimulus_idx,stimulus_type,syllable_onset_time,system_os,target_onset_times,tdt_accuracy,tdt_mean_rt,tdt_total_hits,tdt_total_targets
19,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chromium/135.0.0.0 Chrome/135.0.0.0 Safari/537.36",None,None,None,None,None,None,3,None,None,None,None,31-00-26,31-00-26,11:07:24,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1024982,3.9.8,None,None,16,None,16053,3,None,None,None,None,None,None,v,a,y,o,None,o,None,None,None,816,1536,24,864,24,0,64,1536,None,16053,[],None,None,None,[],Win32,[],None,None,None,None
19,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chromium/135.0.0.0 Chrome/135.0.0.0 Safari/537.36",None,None,None,None,None,None,2,None,None,None,None,31-00-26,31-00-26,11:07:24,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1024982,3.9.8,None,None,16,None,16053,2,None,None,None,None,None,None,v,a,y,o,None,o,None,None,None,816,1536,24,864,24,0,64,1536,None,16053,[],None,None,None,[],Win32,[],None,None,None,None
19,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chromium/135.0.0.0 Chrome/135.0.0.0 Safari/537.36",None,None,None,None,None,None,2,None,None,None,None,31-00-26,31-00-26,11:07:24,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1024982,3.9.8,None,None,16,None,16053,2,None,None,None,None,None,None,v,a,y,o,None,o,None,None,None,816,1536,24,864,24,0,64,1536,None,16053,[],None,None,None,[],Win32,[],None,None,None,None
19,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chromium/135.0.0.0 Chrome/135.0.0.0 Safari/537.36",None,None,None,None,None,None,1,None,None,None,None,31-00-26,31-00-26,11:07:24,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1024982,3.9.8,None,None,16,None,16053,1,None,None,None,None,None,None,v,a,y,o,None,o,None,None,None,816,1536,24,864,24,0,64,1536,None,16053,[],None,None,None,[],Win32,[],None,None,None,None
19,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chromium/135.0.0.0 Chrome/135.0.0.0 Safari/537.36",None,None,None,None,None,None,1,None,None,None,None,31-00-26,31-00-26,11:07:24,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1024982,3.9.8,None,None,16,None,16053,1,None,None,None,None,None,None,v,a,y,o,None,o,None,None,None,816,1536,24,864,24,0,64,1536,None,16053,[],None,None,None,[],Win32,[],None,None,None,None
19,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chromium/135.0.0.0 Chrome/135.0.0.0 Safari/537.36",None,None,None,None,None,None,3,None,None,None,None,31-00-26,31-00-26,11:07:24,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1024982,3.9.8,None,None,16,None,16053,3,None,None,None,None,None,None,v,a,y,o,None,o,None,None,None,816,1536,24,864,24,0,64,1536,None,16053,[],None,None,None,[],Win32,[],None,None,None,None
19,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chromium/135.0.0.0 Chrome/135.0.0.0 Safari/537.36",None,None,None,None,None,None,None,None,None,None,0,31-00-26,31-00-26,11:07:24,None,None,None,None,None,None,0,0,0,0,0,"[8, 9, 2, 3, 0, 1, 10, 11, 14, 15, 4, 5, 12, 13, 6, 7, 0, 1, 99, 4, 5, 14, 15, 6, 7, 8, 9, 10, 11, 2, 3, 12, 13, 14, 15, 2, 3, 8, 9, 6, 7, 4, 5, 0, 1, 12, 13, 10, 11, 14, 15, 12, 13, 8, 9, 99, 2, 3, 0, 1, 10, 11, 4, 5, 6, 7, 0, 1, 6, 7, 14, 15, 4, 5, 12, 13, 99, 2, 3, 8, 9, 10, 11, 4, 5, 8, 9, 6, 7, 12, 13, 0, 1, 14, 15, 99, 2, 3, 10, 11, 12, 13, 10, 11, 14, 15, 0, 1, 8, 9, 2, 3, 6, 7, 4, 5, 0, 1, 4, 5, 2, 3, 8, 9, 99, 6, 7, 14, 15, 10, 11, 12, 13, 4, 5, 6, 7, 8, 9, 99, 12, 13, 14, 15, 2, 3, 10, 11, 0, 1, 12, 13, 14, 15, 8, 9, 0, 1, 2, 3, 6, 7, 10, 11, 4, 5, 14, 15, 0, 1, 4, 5, 2, 3, 8, 9, 10, 11, 99, 12, 13, 6, 7, 14, 15, 8, 9, 0, 1, 6, 7, 2, 3, 4, 5, 10, 11, 12, 13, 99, 8, 9, 12, 13, 4, 5, 6, 7, 10, 11, 2, 3, 0, 1, 14, 15, 4, 5, 6, 7, 10, 11, 99, 0, 1, 12, 13, 14, 15, 2, 3, 8, 9, 6, 7, 8, 9, 2, 3, 10, 11, 4, 5, 14, 15, 0, 1, 12, 13, 8, 9, 99, 0, 1, 14, 15, 10, 11, 6, 7, 4, 5, 2, 3, 12, 13, 6, 7, 12, 13, 10, 11, 4, 5, 0, 1, 99, 14, 15, 2, 3, 8, 9, 4, 5, 14, 15, 10, 11, 2, 3, 99, 6, 7, 8, 9, 12, 13, 0, 1, 6, 7, 0, 1, 8, 9, 4, 5, 2, 3, 10, 11, 12, 13, 14, 15, 99, 0, 1, 14, 15, 12, 13, 2, 3, 10, 11, 8, 9, 6, 7, 4, 5, 10, 11, 2, 3, 8, 9, 14, 15, 12, 13, 4, 5, 6, 7, 99, 0, 1, 8, 9, 4, 5, 10, 11, 2, 3, 12, 13, 14, 15, 6, 7, 0, 1, 14, 15, 99, 6, 7, 2, 3, 10, 11, 0, 1, 4, 5, 8, 9, 12, 13, 2, 3, 14, 15, 10, 11, 6, 7, 12, 13, 99, 8, 9, 4, 5, 0, 1, 12, 13, 4, 5, 2, 3, 8, 9, 10, 11, 14, 15, 0, 1, 6, 7, 99, 0, 1, 4, 5, 8, 9, 12, 13, 14, 15, 2, 3, 6, 7, 10, 11]",None,None,None,0,L2_L1,1024982,3.9.8,L2,10,16,exposure_with_TDT,16053,None,None,None,None,None,None,None,v,a,y,o,None,o,None,None,None,816,1536,24,864,24,0,64,1536,None,16053,"[1769854733569, 1769854755356, 1769854777524, 1769854795191, 1769854804382, 1769854806209, 1769854815112, 1769854824060, 1769854831195, 1769854836602, 1769854847098, 1769854852509, 1769854853518, 1769854864103, 1769854872128, 1769854873315, 1769854876739, 1769854885570, 1769854896044]",None,None,None,"[1769854731348, 1769854731764, 1769854732180, 1769854732597, 1769854733013, 1769854733429, 1769854733847, 1769854734262, 1769854734678, 1769854735095, 1769854735512, 1769854735928, 1769854736345, 1769854736761, 1769854737178, 1769854737595, 1769854738011, 1769854738427, 1769854738844, 1769854739260, 1769854739676, 1769854740093, 1769854740509, 1769854740926, 1769854741341, 1769854741759, 1769854742175, 1769854742590, 1769854743007, 1769854743424, 1769854743840, 1769854744256, 1769854744673, 1769854745090, 1769854745506, 1769854745923, 1769854746339, 1769854746756, 1769854747172, 1769854747589, 1769854748006, 1769854748421, 1769854748838, 1769854749255, 1769854749671, 1769854750087, 1769854750504, 1769854750920, 1769854751337, 1769854751753, 1769854752170, 1769854752586, 1769854753002, 1769854753421, 1769854753838, 1769854754252, 1769854754670, 1769854755086, 1769854755502, 1769854755918, 1769854756335, 1769854756751, 1769854757168, 1769854757584, 1769854758001, 1769854758417, 1769854758850, 1769854759267, 1769854759686, 1769854760100, 1769854760516, 1769854760933, 1769854761349, 1769854761766, 1769854762182, 1769854762599, 1769854763015, 1769854763431, 1769854763848, 1769854764265, 1769854764681, 1769854765097, 1769854765515, 1769854765931, 1769854766347, 1769854766764, 1769854767179, 1769854767596, 1769854768012, 1769854768431, 1769854768846, 1769854769262, 1769854769682, 1769854770097, 1769854770512, 1769854770930, 1769854771346, 1769854771761, 1769854772180, 1769854772596, 1769854773013, 1769854773429, 1769854773846, 1769854774279, 1769854774693, 1769854775112, 1769854775528, 1769854775943, 1769854776360, 1769854776777, 1769854777194, 1769854777610, 1769854778025, 1769854778442, 1769854778859, 1769854779274, 1769854779692, 1769854780108, 1769854780526, 1769854780941, 1769854781357, 1769854781776, 1769854782190, 1769854782608, 1769854783025, 1769854783441, 1769854783858, 1769854784272, 1769854784692, 1769854785107, 1769854785521, 1769854785939, 1769854786355, 1769854786772, 1769854787187, 1769854787604, 1769854788020, 1769854788437, 1769854788853, 1769854789270, 1769854789687, 1769854790103, 1769854790519, 1769854790936, 1769854791352, 1769854791769, 1769854792187, 1769854792602, 1769854793018, 1769854793435, 1769854793851, 1769854794268, 1769854794684, 1769854795101, 1769854795517, 1769854795933, 1769854796350, 1769854796770, 1769854797183, 1769854797600, 1769854798016, 1769854798434, 1769854798852, 1769854799266, 1769854799684, 1769854800098, 1769854800517, 1769854800931, 1769854801351, 1769854801767, 1769854802185, 1769854802600, 1769854803017, 1769854803432, 1769854803847, 1769854804264, 1769854804680, 1769854805097, 1769854805513, 1769854805932, 1769854806349, 1769854806764, 1769854807179, 1769854807598, 1769854808013, 1769854808432, 1769854808845, 1769854809262, 1769854809678, 1769854810097, 1769854810513, 1769854810930, 1769854811345, 1769854811761, 1769854812177, 1769854812593, 1769854813010, 1769854813426, 1769854813843, 1769854814259, 1769854814677, 1769854815094, 1769854815509, 1769854815927, 1769854816342, 1769854816759, 1769854817176, 1769854817592, 1769854818012, 1769854818424, 1769854818844, 1769854819257, 1769854819674, 1769854820098, 1769854820508, 1769854820924, 1769854821340, 1769854821756, 1769854822176, 1769854822589, 1769854823006, 1769854823423, 1769854823876, 1769854824306, 1769854824723, 1769854825139, 1769854825556, 1769854825971, 1769854826388, 1769854826806, 1769854827222, 1769854827637, 1769854828054, 1769854828471, 1769854828888, 1769854829306, 1769854829719, 1769854830140, 1769854830555, 1769854830969, 1769854831385, 1769854831802, 1769854832219, 1769854832636, 1769854833052, 1769854833469, 1769854833884, 1769854834301, 1769854834718, 1769854835134, 1769854835550, 1769854835968, 1769854836384, 1769854836799, 1769854837218, 1769854837632, 1769854838050, 1769854838466, 1769854838882, 1769854839300, 1769854839715, 1769854840132, 1769854840551, 1769854840964, 1769854841382, 1769854841798, 1769854842214, 1769854842630, 1769854843048, 1769854843466, 1769854843880, 1769854844296, 1769854844713, 1769854845129, 1769854845546, 1769854845962, 1769854846397, 1769854846812, 1769854847230, 1769854847646, 1769854848061, 1769854848478, 1769854848896, 1769854849310, 1769854849728, 1769854850147, 1769854850562, 1769854850977, 1769854851393, 1769854851809, 1769854852265, 1769854852695, 1769854853109, 1769854853526, 1769854853942, 1769854854360, 1769854854774, 1769854855192, 1769854855612, 1769854856024, 1769854856440, 1769854856857, 1769854857275, 1769854857690, 1769854858107, 1769854858523, 1769854858940, 1769854859356, 1769854859773, 1769854860190, 1769854860614, 1769854861039, 1769854861463, 1769854861888, 1769854862306, 1769854862722, 1769854863138, 1769854863571, 1769854863989, 1769854864404, 1769854864822, 1769854865237, 1769854865653, 1769854866070, 1769854866487, 1769854866903, 1769854867319, 1769854867736, 1769854868153, 1769854868619, 1769854869035, 1769854869452, 1769854869868, 1769854870286, 1769854870704, 1769854871118, 1769854871535, 1769854871952, 1769854872369, 1769854872785, 1769854873200, 1769854873618, 1769854874033, 1769854874451, 1769854874867, 1769854875283, 1769854875707, 1769854876133, 1769854876549, 1769854876965, 1769854877381, 1769854877798, 1769854878216, 1769854878631, 1769854879047, 1769854879464, 1769854879881, 1769854880297, 1769854880713, 1769854881131, 1769854881547, 1769854881963, 1769854882380, 1769854882796, 1769854883212, 1769854883629, 1769854884046, 1769854884462, 1769854884879, 1769854885296, 1769854885711, 1769854886129, 1769854886544, 1769854886961, 1769854887378, 1769854887793, 1769854888210, 1769854888627, 1769854889043, 1769854889460, 1769854889876, 1769854890293, 1769854890709, 1769854891126, 1769854891542, 1769854891959, 1769854892375, 1769854892791, 1769854893208, 1769854893624, 1769854894041, 1769854894458, 1769854894873, 1769854895290, 1769854895707, 1769854896124, 1769854896540, 1769854896956, 1769854897373, 1769854897789, 1769854898208, 1769854898622, 1769854899038, 1769854899455, 1769854899871, 1769854900288, 1769854900705, 1769854901121, 1769854901537, 1769854901954, 1769854902387, 1769854902821, 1769854903237, 1769854903663, 1769854904103, 1769854904520]",Win32,"[1769854738844, 1769854754252, 1769854763015, 1769854770930, 1769854783025, 1769854789270, 1769854805513, 1769854814259, 1769854823876, 1769854835968, 1769854846397, 1769854852695, 1769854863138, 1769854876133, 1769854884879, 1769854895290]",62.5,782.7,10,16
19,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chromium/135.0.0.0 Chrome/135.0.0.0 Safari/537.36",None,4,None,None,None,None,None,None,None,k,0,31-00-26,31-00-26,11:07:24,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,1,L2_L1,1024982,3.9.8,L2,None,None,OldNew_test,16053,None,d,None,None,None,None,None,v,a,y,o,None,o,None,None,None,816,1536,24,864,24,0,64,1536,2,16053,None,fu_tu_test,26,nonword,None,Win32,None,None,None,None,None
19,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chromium/135.0.0.0 Chrome/135.0.0.0 Safari/537.36",None,3,None,None,None,None,None,None,None,k,0,31-00-26,31-00-26,11:07:24,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,2,L2_L1,1024982,3.9.8,L2,None,None,OldNew_test,16053,None,d,None,None,None,None,None,v,a,y,o,None,o,None,None,None,816,1536,24,864,24,0,64,1536,2,16053,None,zo_so_test,32,nonword,None,Win32,None,None,None,None,None
19,None,None,Mozilla,None,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chromium/135.0.0.0 Chrome/135.0.0.0 Safari/537.36",None,3,None,None,None,None,None,None,None,d,0,31-00-26,31-00-26,11:07:24,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,3,L2_L1,1024982,3.9.8,L2,None,None,OldNew_test,16053,None,d,None,None,None,None,None,v,a,y,o,None,o,None,None,None,816,1536,24,864,24,0,64,1536,2,16053,None,no_so_test,22,pseudoword,None,Win32,None,None,None,None,None
